,Title,Year,Rated,Runtime,Genre,imdbRating,imdbVotes,BoxOffice
568,The Manchurian Candidate,1962,PG-13,126 min,"Drama, Thriller",7.9,"76,197","$2,757,256"
569,Spartacus,1960,PG-13,197 min,"Adventure, Biography, Drama",7.9,"135,733","$1,830,650"
570,Hiroshima Mon Amour,1959,Not Rated,90 min,"Drama, Romance",7.9,"32,713","$96,439"
571,Cat on a Hot Tin Roof,1958,Not Rated,108 min,Drama,7.9,"50,087",N/A
572,Elevator to the Gallows,1958,Not Rated,91 min,"Crime, Drama, Thriller",7.9,"26,037","$374,671"
573,The Ten Commandments,1956,G,220 min,"Adventure, Drama, Family",7.9,"71,559","$65,500,000"
574,The Searchers,1956,Passed,119 min,"Adventure, Drama, Western",7.9,"90,070",N/A
575,The Big Heat,1953,Passed,89 min,"Crime, Film-Noir, Thriller",7.9,"27,011",N/A
576,A Streetcar Named Desire,1951,M/PG,122 min,Drama,7.9,"108,980",N/A
577,Strangers on a Train,1951,PG,101 min,"Crime, Drama, Film-Noir",7.9,"134,598","$26,597"
578,In a Lonely Place,1950,Not Rated,94 min,"Drama, Film-Noir, Mystery",7.9,"31,986",N/A
579,Harvey,1950,Approved,104 min,"Comedy, Drama, Fantasy",7.9,"55,983",N/A
580,Rope,1948,Approved,80 min,"Crime, Drama, Mystery",7.9,"144,500",N/A
581,Miracle on 34th Street,1947,Not Rated,96 min,"Comedy, Drama, Family",7.9,"47,907",N/A
582,Notorious,1946,Not Rated,102 min,"Drama, Film-Noir, Romance",7.9,"101,655",N/A
583,The Big Sleep,1946,Passed,114 min,"Crime, Film-Noir, Mystery",7.9,"86,305","$25,556"
584,Beauty and the Beast,1946,Not Rated,93 min,"Drama, Fantasy, Romance",7.9,"26,674","$298,718"
585,Mildred Pierce,1945,Approved,111 min,"Crime, Drama, Film-Noir",7.9,"26,328",N/A
586,The Lost Weekend,1945,Passed,101 min,"Drama, Film-Noir",7.9,"37,569",N/A
587,Laura,1944,Passed,88 min,"Drama, Film-Noir, Mystery",7.9,"47,866",N/A
588,Arsenic and Old Lace,1944,Not Rated,118 min,"Comedy, Crime, Thriller",7.9,"71,401",N/A
589,Sullivan's Travels,1941,Passed,90 min,"Adventure, Comedy, Drama",7.9,"26,621",N/A
590,The Philadelphia Story,1940,Not Rated,112 min,"Comedy, Romance",7.9,"69,714","$404,524"
591,The Rules of the Game,1939,Not Rated,110 min,"Comedy, Drama",7.9,"29,280","$273,641"
592,The Adventures of Robin Hood,1938,PG,102 min,"Action, Adventure, Romance",7.9,"51,440",N/A
593,The Thin Man,1934,TV-PG,91 min,"Comedy, Mystery",7.9,"30,159",N/A
594,King Kong,1933,Passed,100 min,"Adventure, Horror, Sci-Fi",7.9,"86,054",N/A
595,Battleship Potemkin,1925,Not Rated,66 min,"Drama, History, Thriller",8.0,"58,093","$51,198"
596,Nosferatu,1922,Not Rated,94 min,"Fantasy, Horror",7.9,"98,387",N/A
597,The Gentlemen,2019,R,113 min,"Action, Comedy, Crime",7.8,"338,072","$36,471,795"
598,Hindi Medium,2017,Not Rated,132 min,"Comedy, Drama",7.8,"29,350",N/A
599,Call Me by Your Name,2017,R,132 min,"Drama, Romance",7.8,"272,212","$18,095,701"
600,"I, Daniel Blake",2016,R,100 min,Drama,7.8,"60,485","$260,354"
601,Isle of Dogs,2018,PG-13,101 min,"Animation, Adventure, Comedy",7.8,"169,724","$32,015,231"
602,Dunkirk,2017,PG-13,106 min,"Action, Drama, History",7.8,"656,402","$189,740,665"
603,Hidden Figures,2016,PG,127 min,"Biography, Drama, History",7.8,"230,950","$169,607,287"
604,Hunt for the Wilderpeople,2016,PG-13,101 min,"Adventure, Comedy, Drama",7.8,"131,407","$5,205,468"
605,Paddington 2,2017,PG,103 min,"Adventure, Comedy, Family",7.8,"79,592","$40,907,738"
606,Manchester by the Sea,2016,R,137 min,Drama,7.8,"283,098","$47,695,371"
607,Land of Mine,2015,R,100 min,"Drama, History, War",7.8,"41,737","$435,266"
608,Rogue One: A Star Wars Story,2016,PG-13,133 min,"Action, Adventure, Sci-Fi",7.8,"635,843","$533,539,991"
609,Captain Fantastic,2016,R,118 min,"Comedy, Drama",7.8,"219,593","$5,879,835"
610,Captain America: Civil War,2016,PG-13,147 min,"Action, Adventure, Sci-Fi",7.8,"785,453","$408,084,349"
611,The Hateful Eight,2015,R,168 min,"Crime, Drama, Mystery",7.8,"597,937","$54,117,416"
612,Little Women,2019,PG,135 min,"Drama, Romance",7.8,"204,073","$108,101,214"
613,Loving Vincent,2017,PG-13,94 min,"Animation, Biography, Crime",7.8,"58,554","$6,735,118"
614,Pride,2014,R,119 min,"Biography, Comedy, Drama",7.8,"57,725","$1,446,634"
615,Nightcrawler,2014,R,117 min,"Crime, Drama, Thriller",7.8,"546,517","$32,381,217"
616,Star Wars: Episode VII - The Force Awakens,2015,PG-13,138 min,"Action, Adventure, Sci-Fi",7.8,"929,335","$936,662,225"
617,The Lunchbox,2013,PG,104 min,"Drama, Romance",7.8,"56,783","$4,235,151"
618,"Like Father, Like Son",2013,Not Rated,121 min,Drama,7.8,"25,418","$334,616"
619,Vicky Donor,2012,Not Rated,126 min,"Comedy, Romance",7.8,"43,671","$549,001"
620,Big Hero 6,2014,PG,102 min,"Animation, Action, Adventure",7.8,"461,943","$222,527,828"
621,About Time,2013,R,123 min,"Comedy, Drama, Fantasy",7.8,"351,160","$15,322,921"
622,English Vinglish,2012,Not Rated,134 min,"Comedy, Drama, Family",7.8,"36,783","$1,862,086"
623,The Best Offer,2013,R,131 min,"Crime, Drama, Mystery",7.8,"120,070","$100,035"
624,The Batman,2022,PG-13,176 min,"Action, Crime, Drama",7.9,"621,601","$369,345,583"
625,Captain America: The Winter Soldier,2014,PG-13,136 min,"Action, Adventure, Sci-Fi",7.8,"843,979","$259,766,572"
626,Once Upon a Time in Anatolia,2011,Not Rated,157 min,"Crime, Drama, Thriller",7.8,"46,698","$152,408"
627,Moonrise Kingdom,2012,PG-13,94 min,"Comedy, Drama, Romance",7.8,"350,484","$45,512,466"
628,How to Train Your Dragon 2,2014,PG,102 min,"Animation, Action, Adventure",7.8,"336,206","$177,002,924"
629,The Big Short,2015,R,130 min,"Biography, Comedy, Drama",7.8,"431,628","$70,259,870"
630,I Saw the Devil,2010,Not Rated,144 min,"Action, Crime, Thriller",7.8,"131,438","$129,210"
631,The Girl with the Dragon Tattoo,2011,R,158 min,"Crime, Drama, Mystery",7.8,"464,326","$102,515,793"
632,Captain Phillips,2013,PG-13,134 min,"Action, Biography, Crime",7.8,"460,907","$107,100,855"
633,Straight Outta Compton,2015,R,147 min,"Biography, Drama, History",7.8,"202,980","$161,197,785"
634,The Irishman,2019,R,209 min,"Biography, Crime, Drama",7.8,"386,441",N/A
635,The Social Network,2010,PG-13,120 min,"Biography, Drama",7.8,"702,485","$96,962,694"
636,A Prophet,2009,R,155 min,"Crime, Drama",7.8,"98,885","$2,087,720"
637,Thirteen Lives,2022,PG-13,147 min,"Action, Adventure, Biography",7.8,"50,459",N/A
638,Mother,2009,R,129 min,"Crime, Drama, Mystery",7.8,"64,762","$551,509"
639,The Chaser,2008,Not Rated,125 min,"Action, Crime, Drama",7.8,"67,021",N/A
640,Moon,2009,R,97 min,"Drama, Mystery, Sci-Fi",7.8,"360,249","$5,010,163"
641,The Hobbit: The Desolation of Smaug,2013,PG-13,161 min,"Adventure, Fantasy",7.8,"663,294","$258,387,334"
642,The White Ribbon,2009,R,144 min,"Drama, Mystery, Thriller",7.8,"74,052",N/A
643,The Girl with the Dragon Tattoo,2009,R,152 min,"Crime, Drama, Mystery",7.8,"217,395","$10,095,170"
644,Skyfall,2012,PG-13,143 min,"Action, Adventure, Thriller",7.8,"695,998","$304,360,277"
645,The Worst Person in the World,2021,R,128 min,"Comedy, Drama, Romance",7.8,"66,374","$3,034,775"
646,All Quiet on the Western Front,2022,R,148 min,"Action, Drama, War",7.9,"67,580",N/A
647,The Fighter,2010,R,116 min,"Action, Biography, Drama",7.8,"368,117","$93,617,009"
648,Taken,2008,PG-13,90 min,"Action, Crime, Thriller",7.8,"603,220","$145,000,989"
649,Once,2007,R,86 min,"Drama, Music, Romance",7.8,"116,990","$9,439,923"
650,The Hobbit: An Unexpected Journey,2012,PG-13,169 min,"Adventure, Fantasy",7.8,"827,914","$303,030,651"
651,Changeling,2008,R,141 min,"Biography, Crime, Drama",7.8,"256,539","$35,739,802"
652,Atonement,2007,R,123 min,"Drama, Mystery, Romance",7.8,"279,604","$50,927,067"
653,Drive,2011,R,100 min,"Action, Drama",7.8,"639,561","$35,061,555"
654,American Gangster,2007,R,157 min,"Biography, Crime, Drama",7.8,"427,722","$130,164,645"
655,Avatar,2009,PG-13,162 min,"Action, Adventure, Fantasy",7.8,"1,247,508","$785,221,649"
656,Mr. Nobody,2009,R,141 min,"Drama, Fantasy, Romance",7.8,"233,735","$3,622"
657,Apocalypto,2006,R,139 min,"Action, Adventure, Drama",7.8,"314,110","$50,866,635"
658,The Fall,2006,R,117 min,"Adventure, Drama, Fantasy",7.8,"112,755","$2,266,905"
659,Little Miss Sunshine,2006,R,101 min,"Comedy, Drama",7.8,"480,854","$59,891,098"
660,Hot Fuzz,2007,R,121 min,"Action, Comedy, Mystery",7.8,"506,487","$23,637,265"
661,The Curious Case of Benjamin Button,2008,PG-13,166 min,"Drama, Fantasy, Romance",7.8,"651,065","$127,509,326"
662,Veer-Zaara,2004,Not Rated,192 min,"Drama, Family, Musical",7.8,"53,705","$2,938,532"
663,Pride & Prejudice,2005,PG,129 min,"Drama, Romance",7.8,"297,025","$38,405,088"
664,The World's Fastest Indian,2005,PG-13,127 min,"Biography, Drama, Sport",7.8,"55,354","$5,128,124"
665,Tokyo Godfathers,2003,PG-13,92 min,"Animation, Adventure, Comedy",7.8,"40,914","$367,131"
666,Serenity,2005,PG-13,119 min,"Action, Adventure, Sci-Fi",7.8,"296,849","$25,514,517"
667,Crash,2004,R,112 min,"Crime, Drama, Thriller",7.8,"437,299","$54,580,300"
668,The Chorus,2004,PG-13,97 min,"Comedy, Drama, Music",7.8,"62,782","$3,635,164"
669,Walk the Line,2005,PG-13,136 min,"Biography, Drama, Music",7.8,"252,315","$119,519,402"
670,The Notebook,2004,PG-13,123 min,"Drama, Romance",7.8,"573,254","$81,417,274"
671,The Last Samurai,2003,R,154 min,"Action, Drama",7.8,"440,996","$111,127,263"
672,The Motorcycle Diaries,2004,R,126 min,"Adventure, Biography, Drama",7.8,"101,698","$16,781,387"
673,Lilya 4-Ever,2002,R,109 min,"Crime, Drama",7.8,"46,036","$184,023"
674,Millennium Actress,2001,PG,87 min,"Animation, Drama, Fantasy",7.8,"28,518","$262,891"
675,Cowboy Bebop: The Movie,2001,TV-14,115 min,"Animation, Action, Crime",7.8,"49,316","$1,000,045"
676,Joint Security Area,2000,Not Rated,110 min,"Action, Drama, Thriller",7.8,"30,831",N/A
677,Remember the Titans,2000,PG,113 min,"Biography, Drama, Sport",7.8,"216,834","$115,719,751"
678,All About My Mother,1999,R,101 min,Drama,7.8,"97,534","$8,344,738"
679,Cast Away,2000,PG-13,143 min,"Adventure, Drama, Romance",7.8,"592,072","$233,632,142"
680,The Insider,1999,R,157 min,"Biography, Drama, Thriller",7.8,"172,085","$29,089,912"
681,October Sky,1999,PG,108 min,"Biography, Drama, Family",7.8,"91,861","$32,570,685"
682,Being John Malkovich,1999,R,113 min,"Comedy, Drama, Fantasy",7.8,"336,830","$22,863,596"
683,Gattaca,1997,PG-13,106 min,"Drama, Sci-Fi, Thriller",7.8,"305,689","$12,532,777"
684,Hamlet,1996,PG-13,242 min,Drama,7.8,"38,421","$4,708,156"
685,Breaking the Waves,1996,R,159 min,Drama,7.8,"67,593","$3,803,298"
686,Ed Wood,1994,R,127 min,"Biography, Comedy, Drama",7.8,"177,234","$5,887,457"
687,Tombstone,1993,R,130 min,"Biography, Drama, History",7.8,"149,585","$56,505,065"
688,The Sandlot,1993,PG,101 min,"Comedy, Drama, Family",7.8,"93,149","$32,950,136"
689,The Remains of the Day,1993,PG,134 min,"Drama, Romance",7.8,"75,177","$23,237,911"
690,Ninja Scroll,1993,Not Rated,94 min,"Animation, Action, Adventure",7.8,"37,914",N/A
691,The Fugitive,1993,PG-13,130 min,"Action, Crime, Drama",7.8,"295,629","$183,875,760"
692,A Bronx Tale,1993,R,121 min,"Crime, Drama",7.8,"143,118","$17,287,898"
693,Batman: Mask of the Phantasm,1993,PG,76 min,"Animation, Action, Adventure",7.8,"51,664","$5,635,204"
694,Boyz n the Hood,1991,R,112 min,"Crime, Drama",7.8,"141,670","$57,504,069"
695,Misery,1990,R,107 min,"Drama, Thriller",7.8,"213,604","$61,276,872"
696,Awakenings,1990,PG-13,121 min,"Biography, Drama",7.8,"142,578","$52,096,475"
697,Kiki's Delivery Service,1989,G,103 min,"Animation, Adventure, Family",7.8,"145,641","$1,004,057"
698,Glory,1989,R,122 min,"Biography, Drama, History",7.8,"135,804","$26,979,166"
699,The Killer,1989,R,111 min,"Action, Crime, Drama",7.8,"48,809",N/A
700,Crimes and Misdemeanors,1989,PG-13,104 min,"Comedy, Drama",7.8,"58,374","$18,254,702"
701,Back to the Future Part II,1989,PG,108 min,"Adventure, Comedy, Sci-Fi",7.8,"532,369","$119,000,002"
702,Mississippi Burning,1988,R,128 min,"Crime, Drama, History",7.8,"101,666","$34,603,943"
703,Predator,1987,R,107 min,"Action, Adventure, Horror",7.8,"424,547","$59,735,548"
704,Ferris Bueller's Day Off,1986,PG-13,103 min,Comedy,7.8,"358,982","$70,136,369"
705,The Breakfast Club,1985,R,97 min,"Comedy, Drama",7.8,"399,518","$45,875,171"
706,The Killing Fields,1984,R,141 min,"Biography, Drama, History",7.8,"55,918","$34,700,291"
707,Ghostbusters,1984,PG,105 min,"Action, Comedy, Fantasy",7.8,"416,323","$243,578,797"
708,The Right Stuff,1983,PG,193 min,"Adventure, Biography, Drama",7.8,"61,883","$21,192,102"
709,The King of Comedy,1982,PG,109 min,"Comedy, Crime, Drama",7.8,"104,400","$2,536,242"
710,Kramer vs. Kramer,1979,PG,105 min,Drama,7.8,"146,095","$106,260,000"
711,All That Jazz,1979,R,123 min,"Drama, Music, Musical",7.8,"32,325","$37,823,676"
712,Days of Heaven,1978,PG,94 min,"Drama, Romance",7.8,"58,611","$3,446,749"
713,Dawn of the Dead,1978,Unrated,127 min,"Horror, Thriller",7.8,"121,677",N/A
714,The Outlaw Josey Wales,1976,PG,135 min,Western,7.8,"74,342","$31,800,000"
715,The Man Who Would Be King,1975,PG,129 min,"Adventure, History, War",7.8,"49,371",N/A
716,The Holy Mountain,1973,R,114 min,"Adventure, Drama, Fantasy",7.8,"43,717","$61,001"
717,The Conversation,1974,PG,113 min,"Drama, Mystery, Thriller",7.8,"112,779","$4,671,805"
718,The Day of the Jackal,1973,PG,143 min,"Crime, Drama, Thriller",7.8,"41,516","$16,056,255"
719,The Discreet Charm of the Bourgeoisie,1972,PG,102 min,Comedy,7.8,"43,419","$69,781"
720,Cabaret,1972,PG,124 min,"Drama, Music, Musical",7.8,"55,701",N/A
721,"Aguirre, the Wrath of God",1972,Not Rated,95 min,"Action, Adventure, Biography",7.8,"57,794",N/A
722,Willy Wonka & the Chocolate Factory,1971,G,100 min,"Family, Fantasy, Musical",7.8,"201,936","$573,368"
723,Midnight Cowboy,1969,X,113 min,Drama,7.8,"111,761","$44,785,053"
724,Night of the Living Dead,1968,Not Rated,96 min,"Horror, Thriller",7.8,"130,453","$236,452"
725,Guess Who's Coming to Dinner,1967,Approved,108 min,"Comedy, Drama",7.8,"45,805","$56,666,667"
726,The Umbrellas of Cherbourg,1964,Not Rated,91 min,"Drama, Musical, Romance",7.8,"27,988","$28,030"
727,My Fair Lady,1964,G,170 min,"Drama, Family, Musical",7.8,"96,103","$72,560,711"
728,Mary Poppins,1964,G,139 min,"Comedy, Family, Fantasy",7.8,"173,731","$102,272,727"
729,The Innocents,1961,Not Rated,100 min,Horror,7.8,"30,890",N/A
730,L'Avventura,1960,Not Rated,144 min,"Drama, Mystery, Romance",7.8,"30,191",N/A
731,East of Eden,1955,PG,118 min,Drama,7.8,"45,957",N/A
732,The Day the Earth Stood Still,1951,G,92 min,"Drama, Sci-Fi",7.8,"82,424",N/A
733,The Asphalt Jungle,1950,Passed,112 min,"Crime, Drama, Film-Noir",7.8,"27,703",N/A
734,Red River,1948,Passed,133 min,"Drama, Western",7.8,"31,622",N/A
735,To Have and Have Not,1944,Passed,100 min,"Adventure, Comedy, Film-Noir",7.8,"35,156",N/A
736,Gaslight,1944,Passed,114 min,"Crime, Drama, Mystery",7.8,"29,662",N/A
737,Shadow of a Doubt,1943,Passed,108 min,"Film-Noir, Thriller",7.8,"66,187",N/A
738,His Girl Friday,1940,Passed,92 min,"Comedy, Drama, Romance",7.8,"59,234","$296,000"
739,Stagecoach,1939,Passed,96 min,"Adventure, Drama, Western",7.8,"49,434",N/A
740,You Can't Take It with You,1938,Passed,126 min,"Comedy, Drama, Romance",7.8,"26,087",N/A
741,The Lady Vanishes,1938,Not Rated,96 min,"Mystery, Thriller",7.8,"53,250",N/A
742,Bringing Up Baby,1938,Passed,102 min,Comedy,7.8,"62,047",N/A
743,A Night at the Opera,1935,Passed,96 min,"Comedy, Music, Musical",7.8,"33,130","$2,537,520"
744,The Bride of Frankenstein,1935,Not Rated,75 min,"Drama, Horror, Sci-Fi",7.8,"49,420",N/A
745,Duck Soup,1933,Not Rated,69 min,"Comedy, Musical",7.8,"60,454",N/A
746,Freaks,1932,Not Rated,64 min,"Drama, Horror",7.8,"47,003",N/A
747,Frankenstein,1931,Passed,70 min,"Drama, Horror, Sci-Fi",7.8,"73,864",N/A
748,Dragon Ball Super: Broly,2018,PG,100 min,"Animation, Action, Adventure",7.7,"28,046","$30,712,119"
749,Triangle of Sadness,2022,R,147 min,"Comedy, Drama",7.9,"16,608","$320,475"
750,Roma,2018,R,135 min,Drama,7.7,"158,959",N/A
751,Deadpool 2,2018,R,119 min,"Action, Adventure, Comedy",7.7,"580,760","$324,591,735"
752,Sound of Metal,2019,R,120 min,"Drama, Music",7.7,"128,269",N/A
753,Wind River,2017,R,107 min,"Crime, Drama, Mystery",7.7,"252,680","$33,800,859"
754,The Salesman,2016,PG-13,124 min,"Drama, Thriller",7.7,"60,950","$2,402,067"
755,Get Out,2017,R,104 min,"Horror, Mystery, Thriller",7.7,"607,349","$176,196,665"
756,Mission: Impossible - Fallout,2018,PG-13,147 min,"Action, Adventure, Thriller",7.7,"333,077","$220,159,104"
757,Perfect Strangers,2016,N/A,96 min,"Comedy, Drama",7.7,"65,858",N/A
758,Kubo and the Two Strings,2016,PG,101 min,"Animation, Action, Adventure",7.7,"130,013","$48,023,088"
759,A Man Called Ove,2015,PG-13,116 min,"Comedy, Drama, Romance",7.7,"56,243","$3,479,315"
760,The Breadwinner,2017,PG-13,94 min,"Animation, Drama, Family",7.7,"25,749","$313,215"
761,When Marnie Was There,2014,PG,103 min,"Animation, Drama, Family",7.7,"41,151","$561,085"
762,The Theory of Everything,2014,PG-13,123 min,"Biography, Drama, Romance",7.7,"451,952","$35,893,537"
763,Kingsman: The Secret Service,2014,R,129 min,"Action, Adventure, Comedy",7.7,"667,324","$128,261,724"
764,The Fault in Our Stars,2014,PG-13,126 min,"Drama, Romance",7.7,"378,023","$124,872,350"
765,Me and Earl and the Dying Girl,2015,PG-13,105 min,"Comedy, Drama, Romance",7.7,"132,529","$6,758,416"
766,Birdman or (The Unexpected Virtue of Ignorance),2014,R,119 min,"Comedy, Drama",7.7,"630,058","$42,340,598"
767,The Past,2013,PG-13,130 min,"Drama, Mystery",7.7,"49,190","$1,331,747"
768,The Great Beauty,2013,Not Rated,141 min,Drama,7.7,"91,440","$2,852,400"
769,My Life as a Zucchini,2016,PG-13,70 min,"Animation, Drama, Family",7.7,"25,812","$309,766"
770,Blue Is the Warmest Colour,2013,NC-17,180 min,"Drama, Romance",7.7,"153,104","$2,199,787"
771,The Broken Circle Breakdown,2012,Not Rated,111 min,"Drama, Music, Romance",7.7,"41,423","$175,058"
772,The Wind Rises,2013,PG-13,126 min,"Animation, Biography, Drama",7.7,"86,602","$5,209,580"
773,Toy Story 4,2019,G,100 min,"Animation, Adventure, Comedy",7.7,"250,795","$434,038,008"
774,Nebraska,2013,R,115 min,"Adventure, Comedy, Drama",7.7,"118,702","$17,654,912"
775,Wreck-It Ralph,2012,PG,101 min,"Animation, Adventure, Comedy",7.7,"422,303","$189,422,889"
776,The Little Prince,2015,PG,108 min,"Animation, Adventure, Drama",7.7,"62,698","$1,339,152"
777,Detachment,2011,Not Rated,98 min,Drama,7.7,"86,987","$72,689"
778,Midnight in Paris,2011,PG-13,94 min,"Comedy, Fantasy, Romance",7.7,"424,567","$56,817,045"
779,Confessions,2010,Not Rated,106 min,"Drama, Thriller",7.7,"39,581",N/A
780,The Man from Nowhere,2010,R,119 min,"Action, Crime, Drama",7.7,"70,233","$528,175"
781,The Lego Movie,2014,PG,100 min,"Animation, Action, Adventure",7.7,"356,518","$257,966,122"
782,Gravity,2013,PG-13,91 min,"Drama, Sci-Fi, Thriller",7.7,"825,505","$274,092,705"
783,Star Trek Into Darkness,2013,PG-13,132 min,"Action, Adventure, Sci-Fi",7.7,"484,400","$228,778,661"
784,Beasts of No Nation,2015,TV-MA,137 min,"Drama, War",7.7,"81,904","$90,777"
785,,,,,,,,
786,The Hangover,2009,R,100 min,Comedy,7.7,"784,959","$277,339,746"
787,The Trial of the Chicago 7,2020,R,129 min,"Drama, History, Thriller",7.7,"177,643",N/A
788,Silver Linings Playbook,2012,R,122 min,"Comedy, Drama, Romance",7.7,"709,927","$132,092,958"
789,Another Round,2020,Not Rated,117 min,"Comedy, Drama",7.7,"157,877",N/A
790,Argo,2012,R,120 min,"Biography, Drama, Thriller",7.7,"615,255","$136,025,503"
791,500 Days of Summer,2009,PG-13,95 min,"Comedy, Drama, Romance",7.7,"516,486","$32,391,374"
792,Harry Potter and the Deathly Hallows: Part 1,2010,PG-13,146 min,"Adventure, Family, Fantasy",7.7,"547,840","$296,374,621"
793,The Boy in the Striped Pajamas,2008,PG-13,94 min,"Drama, War",7.7,"219,837","$9,046,156"
794,The Edge of Heaven,2007,Not Rated,122 min,Drama,7.7,"32,395","$742,349"
795,Frost/Nixon,2008,R,122 min,"Biography, Drama, History",7.7,"108,595","$18,622,031"
796,Paprika,2006,R,90 min,"Animation, Drama, Fantasy",7.7,"84,119","$882,267"
797,Flipped,2010,PG,90 min,"Comedy, Drama, Romance",7.7,"90,695","$1,755,212"
798,The Girl Who Leapt Through Time,2006,TV-PG,98 min,"Animation, Adventure, Comedy",7.7,"66,669",N/A
799,This Is England,2006,Not Rated,101 min,"Crime, Drama",7.7,"123,052","$329,379"
800,Ex Machina,2014,R,108 min,"Drama, Sci-Fi, Thriller",7.7,"545,429","$25,442,958"
801,After the Wedding,2006,R,120 min,Drama,7.7,"35,039","$1,534,584"
802,Zodiac,2007,R,157 min,"Crime, Drama, Mystery",7.7,"541,837","$33,080,084"
803,Lucky Number Slevin,2006,R,110 min,"Crime, Drama, Thriller",7.7,"314,503","$22,495,466"
804,Joyeux Noel,2005,PG-13,116 min,"Drama, History, Music",7.7,"29,973",N/A
805,Adam's Apples,2005,R,94 min,"Comedy, Crime, Drama",7.7,"51,252","$1,305"
806,Tangled,2010,PG,100 min,"Animation, Adventure, Comedy",7.7,"453,887","$200,821,936"
807,Black Book,2006,R,145 min,"Drama, Thriller, War",7.7,"77,282","$4,398,532"
808,Brokeback Mountain,2005,R,134 min,"Drama, Romance",7.7,"357,791","$83,043,761"
809,3:10 to Yuma,2007,R,122 min,"Action, Crime, Drama",7.7,"312,995","$53,606,916"
810,Kung Fu Hustle,2004,R,99 min,"Action, Comedy, Fantasy",7.7,"140,834","$17,108,591"
811,The Bourne Supremacy,2004,PG-13,108 min,"Action, Mystery, Thriller",7.7,"464,439","$176,241,941"
812,The Machinist,2004,R,101 min,"Drama, Thriller",7.7,"391,141","$1,082,715"
813,Ray,2004,PG-13,152 min,"Biography, Drama, Music",7.7,"148,611","$75,331,600"
814,Evil,2003,Not Rated,113 min,Drama,N/A,"39,029",N/A
815,Lost in Translation,2003,R,102 min,"Comedy, Drama",7.7,"455,342","$44,585,453"
816,Harry Potter and the Goblet of Fire,2005,PG-13,157 min,"Adventure, Family, Fantasy",7.7,"625,197","$290,469,928"
817,Man on Fire,2004,R,146 min,"Action, Crime, Drama",7.7,"364,123","$77,911,774"
818,Coraline,2009,PG,100 min,"Animation, Drama, Family",7.7,"230,564","$75,286,229"
819,The Magdalene Sisters,2002,R,114 min,Drama,7.7,"27,453","$4,890,878"
820,Finding Neverland,2004,PG,106 min,"Biography, Drama, Family",7.7,"207,187","$51,680,613"
821,Good Bye Lenin!,2003,R,121 min,"Comedy, Drama, Romance",7.7,"146,877","$4,064,200"
822,In America,2002,PG-13,105 min,Drama,7.7,"43,331","$15,539,656"
823,The Triplets of Belleville,2003,PG-13,80 min,"Animation, Comedy, Drama",7.7,"54,716","$7,007,149"
824,Adaptation.,2002,R,115 min,"Comedy, Drama",7.7,"193,528","$22,498,520"
825,Black Hawk Down,2001,R,144 min,"Action, Drama, History",7.7,"397,741","$108,638,745"
826,Road to Perdition,2002,R,117 min,"Crime, Drama, Thriller",7.7,"269,040","$104,454,762"
827,The Experiment,2001,R,120 min,"Drama, Thriller",7.7,"94,098","$144,634"
828,Billy Elliot,2000,R,110 min,"Drama, Music",7.7,"135,680","$21,995,263"
829,Hedwig and the Angry Inch,2001,R,95 min,"Comedy, Drama, Music",7.7,"35,973",N/A
830,The Count of Monte Cristo,2002,PG-13,131 min,"Action, Adventure, Drama",7.7,"138,692","$54,234,062"
831,Y tu mamá también,2001,R,106 min,Drama,7.7,"123,487","$13,839,658"
832,Waking Life,2001,R,99 min,"Animation, Drama, Fantasy",7.7,"64,626","$2,901,447"
833,Ocean's Eleven,2001,PG-13,116 min,"Crime, Thriller",7.7,"575,251","$183,417,150"
834,"O Brother, Where Art Thou?",2000,PG-13,107 min,"Adventure, Comedy, Crime",7.7,"312,768","$45,512,588"
835,"South Park: Bigger, Longer & Uncut",1999,R,81 min,"Animation, Comedy, Fantasy",7.7,"205,302","$52,037,603"
836,Office Space,1999,R,89 min,Comedy,7.7,"268,455","$10,827,810"
837,Happiness,1998,NC-17,134 min,"Comedy, Drama",7.7,"70,838","$2,982,011"
838,The Boondock Saints,1999,R,108 min,"Action, Thriller",7.7,"240,292","$30,471"
839,Training Day,2001,R,122 min,"Action, Crime, Drama",7.7,"436,829","$76,631,907"
840,Run Lola Run,1998,R,80 min,"Action, Crime, Thriller",7.7,"199,615","$7,267,585"
841,Open Your Eyes,1997,R,119 min,"Drama, Mystery, Sci-Fi",7.7,"69,707","$370,720"
842,Taste of Cherry,1997,Not Rated,95 min,Drama,7.7,"31,661",N/A
843,As Good as It Gets,1997,PG-13,139 min,"Comedy, Drama, Romance",7.7,"299,242","$148,478,011"
844,Fireworks,1997,N/A,103 min,"Crime, Drama, Romance",7.7,"30,939","$500,000"
845,The Game,1997,R,129 min,"Drama, Mystery, Thriller",7.7,"396,875","$48,323,648"
846,Donnie Brasco,1997,R,127 min,"Biography, Crime, Drama",7.7,"308,873","$41,909,762"
847,Happy Together,1997,Not Rated,96 min,"Drama, Romance",7.7,"30,107","$320,319"
848,Primal Fear,1996,R,129 min,"Crime, Drama, Mystery",7.7,"219,370","$56,116,183"
849,Sense and Sensibility,1995,PG,136 min,"Drama, Romance",7.7,"117,006","$43,182,776"
850,Apollo 13,1995,PG,140 min,"Adventure, Drama, History",7.7,"296,033","$173,837,933"
851,The Postman,1994,PG,108 min,"Biography, Comedy, Drama",7.7,"36,765","$21,848,932"
