,Title,Year,Rated,Runtime,Genre,imdbRating,imdbVotes,BoxOffice
91,The Boat,1981,R,149 min,"Drama, War",8.4,"251,399","$11,487,676"
92,The Shining,1980,R,146 min,"Drama, Horror",8.4,"1,017,226","$45,634,352"
93,High and Low,1963,Not Rated,143 min,"Crime, Drama, Mystery",8.4,"45,304","$46,808"
94,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,PG,95 min,"Comedy, War",8.4,"491,002","$9,440,272"
95,Witness for the Prosecution,1957,Approved,116 min,"Crime, Drama, Mystery",8.4,"125,568",N/A
96,Paths of Glory,1957,Approved,88 min,"Drama, War",8.4,"197,696",N/A
97,Sunset Blvd.,1950,Passed,110 min,"Drama, Film-Noir",8.4,"221,829","$299,645"
98,The Great Dictator,1940,G,125 min,"Comedy, Drama, War",8.4,"224,374",N/A
99,Chhichhore,2019,Not Rated,143 min,"Comedy, Drama, Romance",8.3,"54,780","$2,004,400"
100,Raatchasan,2018,Not Rated,170 min,"Crime, Drama, Mystery",8.3,"44,757",N/A
101,Ayla: The Daughter of War,2017,N/A,125 min,"Biography, Drama, History",8.3,"40,126",N/A
102,Vikram Vedha,2017,Not Rated,147 min,"Action, Crime, Drama",8.3,"45,002",N/A
103,Dangal,2016,Not Rated,161 min,"Action, Biography, Drama",8.3,"191,599","$12,391,761"
104,Drishyam,2013,Not Rated,160 min,"Crime, Drama, Thriller",8.3,"41,584",N/A
105,The Hunt,2012,R,115 min,Drama,8.3,"328,964","$613,308"
106,A Separation,2011,PG-13,123 min,Drama,8.3,"245,510","$7,099,055"
107,Incendies,2010,R,131 min,"Drama, Mystery",8.3,"177,365","$2,071,334"
108,Spider-Man: No Way Home,2021,PG-13,148 min,"Action, Adventure, Fantasy",8.3,"746,844","$814,115,070"
109,Up,2009,PG,96 min,"Animation, Adventure, Comedy",8.3,"1,039,653","$293,004,164"
110,Toy Story 3,2010,G,103 min,"Animation, Adventure, Comedy",8.3,"834,338","$415,004,880"
111,Inglourious Basterds,2009,R,153 min,"Adventure, Drama, War",8.3,"1,441,001","$120,540,719"
112,Eternal Sunshine of the Spotless Mind,2004,R,108 min,"Drama, Romance, Sci-Fi",8.3,"1,003,816","$34,400,301"
113,Amélie,2001,R,122 min,"Comedy, Romance",8.3,"756,208","$33,225,499"
114,Requiem for a Dream,2000,Unrated,102 min,Drama,8.3,"840,283","$3,635,482"
115,Good Will Hunting,1997,R,126 min,"Drama, Romance",8.3,"963,999","$138,433,435"
116,Toy Story,1995,G,81 min,"Animation, Adventure, Comedy",8.3,"990,679","$223,225,679"
117,Heat,1995,R,170 min,"Action, Crime, Drama",8.3,"653,717","$67,436,818"
118,Reservoir Dogs,1992,R,99 min,"Crime, Thriller",8.3,"1,015,052","$2,832,029"
119,Full Metal Jacket,1987,R,116 min,"Drama, War",8.3,"741,966","$46,357,676"
120,Once Upon a Time in America,1984,R,229 min,"Crime, Drama",8.3,"352,179","$5,321,508"
121,Scarface,1983,R,170 min,"Crime, Drama",8.3,"837,280","$45,408,703"
122,Star Wars: Episode VI - Return of the Jedi,1983,PG,131 min,"Action, Adventure, Fantasy",8.3,"1,050,753","$309,306,177"
123,The Sting,1973,PG,129 min,"Comedy, Crime, Drama",8.3,"262,517","$156,000,000"
124,A Clockwork Orange,1971,X,136 min,"Crime, Sci-Fi",8.3,"828,547","$26,617,553"
125,2001: A Space Odyssey,1968,G,149 min,"Adventure, Sci-Fi",8.3,"667,754","$60,481,243"
126,To Kill a Mockingbird,1962,Approved,129 min,"Crime, Drama",8.3,"316,917","$592,237"
127,Lawrence of Arabia,1962,Approved,218 min,"Adventure, Biography, Drama",8.3,"294,015","$45,306,425"
128,Judgment at Nuremberg,1961,Approved,179 min,"Drama, War",8.3,"78,124",N/A
129,The Apartment,1960,Approved,125 min,"Comedy, Drama, Romance",8.3,"182,198","$18,600,000"
130,North by Northwest,1959,Approved,136 min,"Action, Adventure, Mystery",8.3,"328,642","$66,728"
